x y lat lon sand clay color fractional coverage of grid by vegetation class (columns: 18 IGBP classes, sum to 1.0 per cell) -- ParFlow-CLM v3.15 (2026)
CLASSIC 2-LINE HEADER: drv_readvegtf skips exactly two lines; do NOT add banner comments here (they get read as data and crash CLM init)
19 2 38.687760 -106.864351 0.36 0.29 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
20 2 38.688895 -106.852593 0.55 0.16 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
21 2 38.690030 -106.840835 0.58 0.16 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
22 2 38.691163 -106.829076 0.39 0.23 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
23 2 38.692295 -106.817316 0.60 0.13 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
24 2 38.693425 -106.805557 0.68 0.12 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 2 38.694554 -106.793797 0.68 0.12 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26 2 38.695682 -106.782036 0.68 0.12 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
27 2 38.696808 -106.770275 0.68 0.12 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
28 2 38.697933 -106.758514 0.68 0.10 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
29 2 38.699057 -106.746752 0.69 0.08 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
30 2 38.700179 -106.734990 0.68 0.08 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
31 2 38.701300 -106.723227 0.68 0.08 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
32 2 38.702419 -106.711464 0.46 0.12 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 3 38.676261 -107.077408 0.44 0.15 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 3 38.677421 -107.065656 0.44 0.16 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 3 38.678580 -107.053904 0.44 0.16 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 3 38.679737 -107.042151 0.42 0.19 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
