date,LE_W/m2,H_W/m2,Rn_W/m2,TA_degC,G_W/m2,et_mm_day_published
2017-06-23,123.4996403,39.3092778,224.954862,12.73624095,17.89190901,4.266440994
2017-06-24,128.807014,36.31907861,218.6899206,11.78393263,12.99935253,4.449790487
2017-06-25,122.6496214,36.44025924,221.9131715,12.08052564,12.88786548,4.237076087
2017-06-26,118.7207367,23.36437419,214.2662936,12.6536395,13.19344411,4.101348123
2017-06-27,123.7145317,13.15778128,186.6702837,13.32468773,9.893739344,4.27386467
2017-06-28,116.2399875,21.24424326,187.2007318,12.3835137,8.807638307,4.015647708
2017-06-29,132.9546893,44.69303713,214.0971106,12.09271977,9.822526865,4.593076833
2017-06-30,127.3839906,54.9994014,220.4571834,11.28372031,10.28031419,4.400630462
2017-07-01,115.6692352,35.59943888,213.3123267,11.03092948,10.04519402,3.995930395
2017-07-02,65.18516966,15.12452382,100.1310259,10.43359366,0.316606016,2.251898704
2017-07-03,174.1852571,52.55845537,197.4452159,16.34424149,8.544890115,4.011623675
2017-07-04,105.8468306,15.85725815,164.8276371,13.54233285,8.814034719,3.656603825
2017-07-05,100.5763983,20.3990675,189.9293257,14.24277639,12.5880062,3.474530514
2017-07-06,86.4864518,4.648128598,102.0701724,14.01947602,12.77963628,2.987776664
2017-07-07,87.87969809,0.407246284,152.8226961,13.54248693,18.61849938,3.035908003
2017-07-08,104.9565934,3.770322824,165.6505014,13.90655938,18.69775207,3.625849527
2017-07-09,106.0685544,15.51849034,191.2480474,15.48012663,18.76225807,3.664263536
2017-07-10,126.2645107,8.980636892,201.8664302,15.72964847,18.67600253,4.361956708
2017-07-11,68.60728717,4.252146058,115.7747027,14.2507797,18.66995336,2.370119797
2017-07-12,79.04791637,19.52899504,119.0098252,14.08157566,18.66777322,1.820535779
2017-07-13,94.92929856,18.64188299,133.8222796,14.71637126,18.83356526,2.049652988
2017-07-14,75.13080026,24.28956323,126.2384063,13.70189519,19.34007785,1.946611698
2017-07-15,167.6034724,28.71031059,208.1405042,17.07119226,20.67850459,3.860039988
2017-07-16,112.958077,8.405547426,151.4939646,15.31222447,20.60585559,3.251891862
2017-07-17,104.8995055,15.25181271,144.0948416,14.80381271,20.18392958,3.019897799
2017-07-18,123.6643402,8.306998273,150.4181052,16.44879127,19.9534645,3.204098058
2017-07-19,69.42492559,1.97584116,118.6613581,15.29597499,19.75918211,2.098570322
2017-07-20,114.7126145,10.40085033,180.4115396,16.73159334,19.66581858,3.13728222
2017-07-21,97.52885981,9.00349726,175.1600794,14.68054875,19.3507129,3.369249695
2017-07-22,70.30244756,9.827705085,127.9348503,13.85984873,19.18915342,2.428681115
2017-07-23,128.9514589,21.90813004,186.892333,15.89803066,19.08313173,3.155469525
2017-07-24,136.9066167,15.84188921,193.0507398,15.96427457,19.0623565,3.547200625
2017-07-25,80.41989807,14.88895787,125.8607241,14.63271741,19.14421393,2.199408648
2017-07-26,124.2233351,17.84458846,161.751339,16.32933886,19.83218064,2.860961256
2017-07-27,183.7036566,19.62066388,215.285993,18.37657051,20.66744601,4.495267407
2017-07-28,75.5273955,6.668308372,107.3392163,14.54464085,20.22510093,1.956887336
2017-07-29,92.46145894,16.86124425,98.16082444,15.81075775,20.04843181,1.464003908
2017-07-30,131.6054582,16.11565543,189.240937,15.6157142,20.50501414,3.599285623
2017-07-31,121.1402075,13.57537122,168.6434011,15.90653678,20.64135395,3.31307085
2017-08-01,115.6320896,9.758617944,168.6148061,15.39961503,20.27263922,3.162428999
2017-08-02,129.7677143,10.60790857,223.8501666,13.19720701,19.92701076,3.922606638
2017-08-03,93.39167272,21.44205632,232.8345251,12.70881823,19.85065147,2.554174496
2017-08-04,148.0732524,20.47898247,192.9808799,14.92145225,19.77429218,3.836524092
2017-08-05,128.2462781,31.09657243,196.4271519,13.72683848,19.62914347,3.876616802
